# Postal codes from GeoNames (geonames.org), licensed CC BY 4.0: one entry per code, named after its most populous place. Regenerated by tools\Update-PostalCodes.ps1 on 2026-09-12. Columns: code, place name, region, country, latitude, longitude.
G6L	Plessisville	Quebec	Canada	46.2186	-71.762
G6P	Victoriaville Central	Quebec	Canada	46.0529	-71.9477
G6R	Victoriaville South	Quebec	Canada	46.016	-71.9561
G6S	Victoriaville East	Quebec	Canada	46.0264	-71.8719
G6T	Victoriaville Northwest	Quebec	Canada	46.0828	-71.9728
G6V	Lévis North	Quebec	Canada	46.8033	-71.1779
G6W	Lévis South	Quebec	Canada	46.7546	-71.22
G6X	Charny	Quebec	Canada	46.7151	-71.2612
G6Y	Lévis	Quebec	Canada	46.8033	-71.1779
G6Z	Saint-Jean-Chrysostome	Quebec	Canada	46.6901	-71.1849
G7A	Saint-Nicolas	Quebec	Canada	46.6842	-71.3827
G7B	La Baie	Quebec	Canada	48.3398	-70.8893
G7G	Chicoutimi North	Quebec	Canada	48.445	-71.1025
G7H	Chicoutimi East	Quebec	Canada	48.4187	-71.0417
G7J	Chicoutimi West	Quebec	Canada	48.4175	-71.1031
G7K	Chicoutimi Southwest	Quebec	Canada	48.3689	-71.1175
G7N	Laterrière	Quebec	Canada	48.2007	-71.1426
G7P	Saint-Ambroise	Quebec	Canada	48.5501	-71.3158
G7S	Jonquière Northeast	Quebec	Canada	48.4294	-71.1774
G7T	Jonquière Southeast	Quebec	Canada	48.3975	-71.1527
G7X	Jonquière Central	Quebec	Canada	48.3199	-71.4149
G7Y	Jonquière Southwest	Quebec	Canada	48.3701	-71.2358
G7Z	Jonquière Northwest	Quebec	Canada	48.4381	-71.2642
G8A	Jonquière West	Quebec	Canada	48.4233	-71.3629
G8B	Alma Southeast	Quebec	Canada	48.5548	-71.673
G8C	Alma Southwest	Quebec	Canada	48.5278	-71.6364
G8E	Alma North	Quebec	Canada	48.6377	-71.6957
G8G	Métabetchouan-Lac-a-la-Croix	Quebec	Canada	47.8076	-71.5907
G8H	Roberval	Quebec	Canada	48.5168	-72.2324
G8J	Saint-Prime	Quebec	Canada	48.5834	-72.3324
G8K	Saint-Félicien	Quebec	Canada	48.6501	-72.4491
G8L	Dolbeau-Mistassini	Quebec	Canada	48.8763	-72.212
G8M	Albanel	Quebec	Canada	48.8832	-72.4487
G8N	Hébertville	Quebec	Canada	48.3473	-71.6786
G8P	Chibougamau	Quebec	Canada	49.9168	-74.3659
G8T	Cap-de-la-Madeleine Central and southeast	Quebec	Canada	46.3877	-72.5357
G8V	Cap-de-la-Madeleine Northeast	Quebec	Canada	46.4098	-72.4908
G8W	Cap-de-la-Madeleine West	Quebec	Canada	46.4176	-72.6372
G8Y	Trois-Rivières Central	Quebec	Canada	46.3668	-72.6168
G8Z	Trois-Rivières Northeast	Quebec	Canada	46.3458	-72.5716
G9A	Trois-Rivières East	Quebec	Canada	46.3695	-72.6789
G9B	Trois-Rivières South	Quebec	Canada	46.316	-72.6833
G9C	Trois-Rivières West	Quebec	Canada	46.3922	-72.6725
G9H	Becancour	Quebec	Canada	46.3334	-72.4324
G9N	Shawinigan Central	Quebec	Canada	46.5564	-72.7198
G9P	Shawinigan Southeast	Quebec	Canada	46.5068	-72.7436
G9R	Shawinigan Northwest	Quebec	Canada	46.6098	-72.8266
G9T	Grand-Mère	Quebec	Canada	46.6315	-72.737
G9X	La Tuque	Quebec	Canada	47.4334	-72.7824
H0H	Reserved (Santa Claus)	Quebec	Canada	90	0
